virus	age_group	season	iso_standard	Inc	CatchmentPop
Influenza	5-17	17/18	-26	NA	143414
Influenza	5-17	17/18	0	2	143414
Influenza	5-17	17/18	32	NA	143414
Influenza	5-17	18/19	-26	NA	149962
Influenza	5-17	18/19	0	0	149962
Influenza	5-17	18/19	32	NA	149962
Influenza	5-17	19/20	-26	NA	151048
Influenza	5-17	19/20	0	0	151048
Influenza	5-17	19/20	32	NA	151048
Influenza	5-17	20/21	-26	NA	111099
Influenza	5-17	20/21	0	0	111099
Influenza	5-17	20/21	32	NA	111099
Influenza	18-49	10/11	-26	NA	569073
Influenza	18-49	10/11	0	3	569073
Influenza	18-49	10/11	32	NA	569073
Influenza	18-49	11/12	-26	NA	1047310
Influenza	18-49	11/12	0	0	1047310
Influenza	18-49	11/12	32	NA	1047310
Influenza	18-49	12/13	-26	NA	582931
Influenza	18-49	12/13	0	0	582931
Influenza	18-49	12/13	32	NA	582931
Influenza	18-49	13/14	-26	NA	664489
Influenza	18-49	13/14	0	1	664489
Influenza	18-49	13/14	32	NA	664489
Influenza	18-49	14/15	-26	NA	1088213
Influenza	18-49	14/15	0	0	1088213
Influenza	18-49	14/15	32	NA	1088213
Influenza	18-49	15/16	-26	NA	487534
Influenza	18-49	15/16	0	1	487534
Influenza	18-49	15/16	32	NA	487534
Influenza	18-49	16/17	-26	NA	473141
Influenza	18-49	16/17	0	1	473141
Influenza	18-49	16/17	32	NA	473141
Influenza	18-49	17/18	-26	NA	463322
Influenza	18-49	17/18	0	2	463322
Influenza	18-49	17/18	32	NA	463322
Influenza	18-49	18/19	-26	NA	479829
Influenza	18-49	18/19	0	0	479829
Influenza	18-49	18/19	32	NA	479829
Influenza	18-49	19/20	-26	NA	478337
Influenza	18-49	19/20	0	0	478337
Influenza	18-49	19/20	32	NA	478337
Influenza	18-49	20/21	-26	NA	346573
Influenza	18-49	20/21	0	0	346573
Influenza	18-49	20/21	32	NA	346573
Influenza	50-64	10/11	-26	NA	205408
Influenza	50-64	10/11	0	4	205408
Influenza	50-64	10/11	32	NA	205408
Influenza	50-64	11/12	-26	NA	383442
Influenza	50-64	11/12	0	0	383442
Influenza	50-64	11/12	32	NA	383442
Influenza	50-64	12/13	-26	NA	226357
Influenza	50-64	12/13	0	0	226357
Influenza	50-64	12/13	32	NA	226357
Influenza	50-64	13/14	-26	NA	266113
Influenza	50-64	13/14	0	5	266113
Influenza	50-64	13/14	32	NA	266113
Influenza	50-64	14/15	-26	NA	451687
Influenza	50-64	14/15	0	1	451687
Influenza	50-64	14/15	32	NA	451687
Influenza	50-64	15/16	-26	NA	209315
Influenza	50-64	15/16	0	0	209315
Influenza	50-64	15/16	32	NA	209315
Influenza	50-64	16/17	-26	NA	214647
Influenza	50-64	16/17	0	1	214647
Influenza	50-64	16/17	32	NA	214647
Influenza	50-64	17/18	-26	NA	215012
Influenza	50-64	17/18	0	5	215012
Influenza	50-64	17/18	32	NA	215012
Influenza	50-64	18/19	-26	NA	228595
Influenza	50-64	18/19	0	2	228595
Influenza	50-64	18/19	32	0	228595
Influenza	50-64	19/20	-26	NA	234080
Influenza	50-64	19/20	0	0	234080
Influenza	50-64	19/20	32	NA	234080
Influenza	50-64	20/21	-26	NA	178397
Influenza	50-64	20/21	0	0	178397
Influenza	50-64	20/21	32	NA	178397
Influenza	65-74	10/11	-26	NA	97797
Influenza	65-74	10/11	0	0	97797
Influenza	65-74	10/11	32	NA	97797
Influenza	65-74	11/12	-26	NA	174625
Influenza	65-74	11/12	0	1	174625
Influenza	65-74	11/12	32	NA	174625
Influenza	65-74	12/13	-26	NA	103936
Influenza	65-74	12/13	0	0	103936
Influenza	65-74	12/13	32	NA	103936
Influenza	65-74	13/14	-26	NA	126169
Influenza	65-74	13/14	0	2	126169
Influenza	65-74	13/14	32	NA	126169
Influenza	65-74	14/15	-26	NA	214489
Influenza	65-74	14/15	0	1	214489
Influenza	65-74	14/15	32	NA	214489
Influenza	65-74	15/16	-26	NA	100144
Influenza	65-74	15/16	0	0	100144
Influenza	65-74	15/16	32	NA	100144
Influenza	65-74	16/17	-26	NA	103094
Influenza	65-74	16/17	0	5	103094
Influenza	65-74	16/17	32	NA	103094
Influenza	65-74	17/18	-26	NA	104480
Influenza	65-74	17/18	0	7	104480
Influenza	65-74	17/18	32	NA	104480
Influenza	65-74	18/19	-26	NA	110380
Influenza	65-74	18/19	0	0	110380
Influenza	65-74	18/19	32	0	110380
Influenza	65-74	19/20	-26	NA	110940
Influenza	65-74	19/20	0	0	110940
Influenza	65-74	19/20	32	NA	110940
Influenza	65-74	20/21	-26	NA	84113
Influenza	65-74	20/21	0	0	84113
Influenza	65-74	20/21	32	NA	84113
Influenza	75+	10/11	-26	NA	102896
Influenza	75+	10/11	0	3	102896
Influenza	75+	10/11	32	NA	102896
Influenza	75+	11/12	-26	NA	178095
Influenza	75+	11/12	0	8	178095
Influenza	75+	11/12	32	NA	178095
Influenza	75+	12/13	-26	NA	107693
Influenza	75+	12/13	0	1	107693
Influenza	75+	12/13	32	NA	107693
Influenza	75+	13/14	-26	NA	127139
Influenza	75+	13/14	0	1	127139
Influenza	75+	13/14	32	NA	127139
Influenza	75+	14/15	-26	NA	199975
Influenza	75+	14/15	0	11	199975
Influenza	75+	14/15	32	NA	199975
Influenza	75+	15/16	-26	NA	94448
Influenza	75+	15/16	0	0	94448
Influenza	75+	15/16	32	NA	94448
Influenza	75+	16/17	-26	NA	95766
Influenza	75+	16/17	0	13	95766
Influenza	75+	16/17	32	NA	95766
Influenza	75+	17/18	-26	NA	95686
Influenza	75+	17/18	0	40	95686
Influenza	75+	17/18	32	NA	95686
Influenza	75+	18/19	-26	NA	101302
Influenza	75+	18/19	0	0	101302
Influenza	75+	18/19	32	0	101302
Influenza	75+	19/20	-26	NA	103781
Influenza	75+	19/20	0	1	103781
Influenza	75+	19/20	32	NA	103781
Influenza	75+	20/21	-26	NA	80844
Influenza	75+	20/21	0	0	80844
Influenza	75+	20/21	32	NA	80844
RSV	<6m	10/11	-26	NA	0
RSV	<6m	10/11	0	NA	0
RSV	<6m	10/11	32	NA	0
RSV	<6m	11/12	-26	NA	9278
RSV	<6m	11/12	0	21	9278
RSV	<6m	11/12	32	NA	9278
RSV	<6m	12/13	-26	NA	5702
RSV	<6m	12/13	0	7	5702
RSV	<6m	12/13	32	NA	5702
RSV	<6m	13/14	-26	NA	6219
RSV	<6m	13/14	0	2	6219
RSV	<6m	13/14	32	NA	6219
RSV	<6m	14/15	-26	NA	9207
RSV	<6m	14/15	0	19	9207
RSV	<6m	14/15	32	NA	9207
RSV	<6m	15/16	-26	NA	4778
RSV	<6m	15/16	0	20	4778
RSV	<6m	15/16	32	NA	4778
RSV	<6m	16/17	-26	NA	4574
RSV	<6m	16/17	0	11	4574
RSV	<6m	16/17	32	NA	4574
RSV	<6m	17/18	-26	NA	4363
RSV	<6m	17/18	0	15	4363
RSV	<6m	17/18	32	NA	4363
RSV	<6m	18/19	-26	NA	4327
RSV	<6m	18/19	0	20	4327
RSV	<6m	18/19	32	NA	4327
RSV	<6m	19/20	-26	NA	4308
RSV	<6m	19/20	0	13	4308
RSV	<6m	19/20	32	NA	4308
RSV	<6m	20/21	-26	NA	2865
RSV	<6m	20/21	0	0	2865
RSV	<6m	20/21	32	NA	2865
RSV	6-12m	10/11	-26	NA	0
RSV	6-12m	10/11	0	NA	0
RSV	6-12m	10/11	32	NA	0
RSV	6-12m	11/12	-26	NA	9278
RSV	6-12m	11/12	0	5	9278
RSV	6-12m	11/12	32	NA	9278
RSV	6-12m	12/13	-26	NA	5701
RSV	6-12m	12/13	0	3	5701
RSV	6-12m	12/13	32	NA	5701
RSV	6-12m	13/14	-26	NA	6218
RSV	6-12m	13/14	0	2	6218
RSV	6-12m	13/14	32	NA	6218
RSV	6-12m	14/15	-26	NA	9207
RSV	6-12m	14/15	0	5	9207
RSV	6-12m	14/15	32	NA	9207
RSV	6-12m	15/16	-26	NA	4778
RSV	6-12m	15/16	0	3	4778
RSV	6-12m	15/16	32	NA	4778
RSV	6-12m	16/17	-26	NA	4573
RSV	6-12m	16/17	0	2	4573
RSV	6-12m	16/17	32	NA	4573
RSV	6-12m	17/18	-26	NA	4363
RSV	6-12m	17/18	0	4	4363
RSV	6-12m	17/18	32	NA	4363
RSV	6-12m	18/19	-26	NA	4326
RSV	6-12m	18/19	0	2	4326
RSV	6-12m	18/19	32	NA	4326
RSV	6-12m	19/20	-26	NA	4307
RSV	6-12m	19/20	0	3	4307
RSV	6-12m	19/20	32	NA	4307
RSV	6-12m	20/21	-26	NA	2865
RSV	6-12m	20/21	0	NA	2865
RSV	6-12m	20/21	32	NA	2865
RSV	1	10/11	-26	NA	0
RSV	1	10/11	0	NA	0
RSV	1	10/11	32	NA	0
RSV	1	11/12	-26	NA	19620
RSV	1	11/12	0	6	19620
RSV	1	11/12	32	NA	19620
RSV	1	12/13	-26	NA	12524
RSV	1	12/13	0	0	12524
RSV	1	12/13	32	NA	12524
RSV	1	13/14	-26	NA	13633
RSV	1	13/14	0	1	13633
RSV	1	13/14	32	NA	13633
RSV	1	14/15	-26	NA	19353
RSV	1	14/15	0	5	19353
RSV	1	14/15	32	NA	19353
RSV	1	15/16	-26	NA	9799
RSV	1	15/16	0	5	9799
RSV	1	15/16	32	NA	9799
RSV	1	16/17	-26	NA	9656
RSV	1	16/17	0	3	9656
RSV	1	16/17	32	NA	9656
RSV	1	17/18	-26	NA	9445
RSV	1	17/18	0	1	9445
RSV	1	17/18	32	NA	9445
RSV	1	18/19	-26	NA	9366
RSV	1	18/19	0	1	9366
RSV	1	18/19	32	NA	9366
RSV	1	19/20	-26	NA	8786
RSV	1	19/20	0	1	8786
RSV	1	19/20	32	NA	8786
RSV	1	20/21	-26	NA	6239
RSV	1	20/21	0	NA	6239
RSV	1	20/21	32	NA	6239
RSV	2-4	10/11	-26	NA	0
RSV	2-4	10/11	0	NA	0
RSV	2-4	10/11	32	NA	0
RSV	2-4	11/12	-26	NA	65457
RSV	2-4	11/12	0	3	65457
RSV	2-4	11/12	32	NA	65457
RSV	2-4	12/13	-26	NA	41393
RSV	2-4	12/13	0	1	41393
RSV	2-4	12/13	32	NA	41393
RSV	2-4	13/14	-26	NA	45317
RSV	2-4	13/14	0	1	45317
RSV	2-4	13/14	32	NA	45317
RSV	2-4	14/15	-26	NA	64785
RSV	2-4	14/15	0	2	64785
RSV	2-4	14/15	32	NA	64785
RSV	2-4	15/16	-26	NA	32638
RSV	2-4	15/16	0	2	32638
RSV	2-4	15/16	32	NA	32638
RSV	2-4	16/17	-26	NA	30469
RSV	2-4	16/17	0	0	30469
RSV	2-4	16/17	32	NA	30469
RSV	2-4	17/18	-26	NA	29435
RSV	2-4	17/18	0	3	29435
RSV	2-4	17/18	32	NA	29435
RSV	2-4	18/19	-26	NA	30645
RSV	2-4	18/19	0	1	30645
RSV	2-4	18/19	32	NA	30645
RSV	2-4	19/20	-26	NA	30024
RSV	2-4	19/20	0	2	30024
RSV	2-4	19/20	32	NA	30024
RSV	2-4	20/21	-26	NA	20942
RSV	2-4	20/21	0	NA	20942
RSV	2-4	20/21	32	NA	20942
RSV	5-17	10/11	-26	NA	0
RSV	5-17	10/11	0	NA	0
RSV	5-17	10/11	32	NA	0
RSV	5-17	11/12	-26	NA	249490
RSV	5-17	11/12	0	0	249490
RSV	5-17	11/12	32	NA	249490
RSV	5-17	12/13	-26	NA	164894
RSV	5-17	12/13	0	0	164894
RSV	5-17	12/13	32	NA	164894
RSV	5-17	13/14	-26	NA	191161
RSV	5-17	13/14	0	0	191161
RSV	5-17	13/14	32	NA	191161
RSV	5-17	14/15	-26	NA	282133
RSV	5-17	14/15	0	0	282133
RSV	5-17	14/15	32	NA	282133
RSV	5-17	15/16	-26	NA	144939
RSV	5-17	15/16	0	0	144939
RSV	5-17	15/16	32	NA	144939
RSV	5-17	16/17	-26	NA	145423
RSV	5-17	16/17	0	0	145423
RSV	5-17	16/17	32	NA	145423
RSV	5-17	17/18	-26	NA	143414
RSV	5-17	17/18	0	0	143414
RSV	5-17	17/18	32	NA	143414
RSV	5-17	18/19	-26	NA	149962
RSV	5-17	18/19	0	0	149962
RSV	5-17	18/19	32	NA	149962
RSV	5-17	19/20	-26	NA	151048
RSV	5-17	19/20	0	0	151048
RSV	5-17	19/20	32	NA	151048
RSV	5-17	20/21	-26	NA	111099
RSV	5-17	20/21	0	0	111099
RSV	5-17	20/21	32	NA	111099
RSV	18-49	10/11	-26	NA	569073
RSV	18-49	10/11	0	0	569073
RSV	18-49	10/11	32	NA	569073
RSV	18-49	11/12	-26	NA	1047310
RSV	18-49	11/12	0	0	1047310
RSV	18-49	11/12	32	NA	1047310
RSV	18-49	12/13	-26	NA	582931
RSV	18-49	12/13	0	0	582931
RSV	18-49	12/13	32	NA	582931
RSV	18-49	13/14	-26	NA	664489
RSV	18-49	13/14	0	0	664489
RSV	18-49	13/14	32	NA	664489
RSV	18-49	14/15	-26	NA	1088213
RSV	18-49	14/15	0	2	1088213
RSV	18-49	14/15	32	NA	1088213
RSV	18-49	15/16	-26	NA	487534
RSV	18-49	15/16	0	0	487534
RSV	18-49	15/16	32	NA	487534
RSV	18-49	16/17	-26	NA	473141
RSV	18-49	16/17	0	0	473141
RSV	18-49	16/17	32	NA	473141
RSV	18-49	17/18	-26	NA	463322
RSV	18-49	17/18	0	0	463322
RSV	18-49	17/18	32	NA	463322
RSV	18-49	18/19	-26	NA	479829
RSV	18-49	18/19	0	0	479829
RSV	18-49	18/19	32	NA	479829
RSV	18-49	19/20	-26	NA	478337
RSV	18-49	19/20	0	1	478337
RSV	18-49	19/20	32	NA	478337
RSV	18-49	20/21	-26	NA	346573
RSV	18-49	20/21	0	0	346573
RSV	18-49	20/21	32	NA	346573
RSV	50-64	10/11	-26	NA	205408
RSV	50-64	10/11	0	0	205408
RSV	50-64	10/11	32	NA	205408
RSV	50-64	11/12	-26	NA	383442
RSV	50-64	11/12	0	2	383442
RSV	50-64	11/12	32	NA	383442
RSV	50-64	12/13	-26	NA	226357
RSV	50-64	12/13	0	0	226357
RSV	50-64	12/13	32	NA	226357
RSV	50-64	13/14	-26	NA	266113
RSV	50-64	13/14	0	1	266113
RSV	50-64	13/14	32	NA	266113
RSV	50-64	14/15	-26	NA	451687
RSV	50-64	14/15	0	0	451687
RSV	50-64	14/15	32	NA	451687
RSV	50-64	15/16	-26	NA	209315
RSV	50-64	15/16	0	1	209315
RSV	50-64	15/16	32	NA	209315
RSV	50-64	16/17	-26	NA	214647
RSV	50-64	16/17	0	1	214647
RSV	50-64	16/17	32	NA	214647
RSV	50-64	17/18	-26	NA	215012
RSV	50-64	17/18	0	1	215012
RSV	50-64	17/18	32	NA	215012
RSV	50-64	18/19	-26	NA	228595
RSV	50-64	18/19	0	3	228595
RSV	50-64	18/19	32	0	228595
RSV	50-64	19/20	-26	NA	234080
RSV	50-64	19/20	0	2	234080
RSV	50-64	19/20	32	NA	234080
RSV	50-64	20/21	-26	NA	178397
RSV	50-64	20/21	0	0	178397
RSV	50-64	20/21	32	NA	178397
RSV	65-74	10/11	-26	NA	97797
RSV	65-74	10/11	0	2	97797
RSV	65-74	10/11	32	NA	97797
RSV	65-74	11/12	-26	NA	174625
RSV	65-74	11/12	0	6	174625
RSV	65-74	11/12	32	NA	174625
RSV	65-74	12/13	-26	NA	103936
RSV	65-74	12/13	0	1	103936
RSV	65-74	12/13	32	NA	103936
RSV	65-74	13/14	-26	NA	126169
RSV	65-74	13/14	0	1	126169
RSV	65-74	13/14	32	NA	126169
RSV	65-74	14/15	-26	NA	214489
RSV	65-74	14/15	0	6	214489
RSV	65-74	14/15	32	NA	214489
RSV	65-74	15/16	-26	NA	100144
RSV	65-74	15/16	0	1	100144
RSV	65-74	15/16	32	NA	100144
RSV	65-74	16/17	-26	NA	103094
RSV	65-74	16/17	0	6	103094
RSV	65-74	16/17	32	NA	103094
RSV	65-74	17/18	-26	NA	104480
RSV	65-74	17/18	0	0	104480
RSV	65-74	17/18	32	NA	104480
RSV	65-74	18/19	-26	NA	110380
RSV	65-74	18/19	0	3	110380
RSV	65-74	18/19	32	0	110380
RSV	65-74	19/20	-26	NA	110940
RSV	65-74	19/20	0	2	110940
RSV	65-74	19/20	32	NA	110940
RSV	65-74	20/21	-26	NA	84113
RSV	65-74	20/21	0	0	84113
RSV	65-74	20/21	32	NA	84113
RSV	75+	10/11	-26	NA	102896
RSV	75+	10/11	0	1	102896
RSV	75+	10/11	32	NA	102896
RSV	75+	11/12	-26	NA	178095
RSV	75+	11/12	0	16	178095
RSV	75+	11/12	32	NA	178095
RSV	75+	12/13	-26	NA	107693
RSV	75+	12/13	0	3	107693
RSV	75+	12/13	32	NA	107693
RSV	75+	13/14	-26	NA	127139
RSV	75+	13/14	0	0	127139
RSV	75+	13/14	32	NA	127139
RSV	75+	14/15	-26	NA	199975
RSV	75+	14/15	0	5	199975
RSV	75+	14/15	32	NA	199975
RSV	75+	15/16	-26	NA	94448
RSV	75+	15/16	0	9	94448
RSV	75+	15/16	32	NA	94448
RSV	75+	16/17	-26	NA	95766
RSV	75+	16/17	0	4	95766
RSV	75+	16/17	32	NA	95766
RSV	75+	17/18	-26	NA	95686
RSV	75+	17/18	0	6	95686
RSV	75+	17/18	32	NA	95686
RSV	75+	18/19	-26	NA	101302
RSV	75+	18/19	0	9	101302
RSV	75+	18/19	32	0	101302
RSV	75+	19/20	-26	NA	103781
RSV	75+	19/20	0	2	103781
RSV	75+	19/20	32	NA	103781
RSV	75+	20/21	-26	NA	80844
RSV	75+	20/21	0	0	80844
RSV	75+	20/21	32	NA	80844
