CoVirus	age_group	season	iso_standard	Inc	CatchmentPop
Influenza+RSV	50-64	19/20	32	NA	234080
Influenza+RSV	50-64	20/21	-26	NA	178397
Influenza+RSV	50-64	20/21	0	0	178397
Influenza+RSV	50-64	20/21	32	NA	178397
Influenza+RSV	65-74	10/11	-26	NA	97797
Influenza+RSV	65-74	10/11	0	0	97797
Influenza+RSV	65-74	10/11	32	NA	97797
Influenza+RSV	65-74	11/12	-26	NA	174625
Influenza+RSV	65-74	11/12	0	1	174625
Influenza+RSV	65-74	11/12	32	NA	174625
Influenza+RSV	65-74	12/13	-26	NA	103936
Influenza+RSV	65-74	12/13	0	0	103936
Influenza+RSV	65-74	12/13	32	NA	103936
Influenza+RSV	65-74	13/14	-26	NA	126169
Influenza+RSV	65-74	13/14	0	0	126169
Influenza+RSV	65-74	13/14	32	NA	126169
Influenza+RSV	65-74	14/15	-26	NA	214489
Influenza+RSV	65-74	14/15	0	0	214489
Influenza+RSV	65-74	14/15	32	NA	214489
Influenza+RSV	65-74	15/16	-26	NA	100144
Influenza+RSV	65-74	15/16	0	0	100144
Influenza+RSV	65-74	15/16	32	NA	100144
Influenza+RSV	65-74	16/17	-26	NA	103094
Influenza+RSV	65-74	16/17	0	0	103094
Influenza+RSV	65-74	16/17	32	NA	103094
Influenza+RSV	65-74	17/18	-26	NA	104480
Influenza+RSV	65-74	17/18	0	0	104480
Influenza+RSV	65-74	17/18	32	NA	104480
Influenza+RSV	65-74	18/19	-26	NA	110380
Influenza+RSV	65-74	18/19	0	0	110380
Influenza+RSV	65-74	18/19	32	0	110380
Influenza+RSV	65-74	19/20	-26	NA	110940
Influenza+RSV	65-74	19/20	0	0	110940
Influenza+RSV	65-74	19/20	32	NA	110940
Influenza+RSV	65-74	20/21	-26	NA	84113
Influenza+RSV	65-74	20/21	0	0	84113
Influenza+RSV	65-74	20/21	32	NA	84113
Influenza+RSV	75+	10/11	-26	NA	102896
Influenza+RSV	75+	10/11	0	0	102896
Influenza+RSV	75+	10/11	32	NA	102896
Influenza+RSV	75+	11/12	-26	NA	178095
Influenza+RSV	75+	11/12	0	1	178095
Influenza+RSV	75+	11/12	32	NA	178095
Influenza+RSV	75+	12/13	-26	NA	107693
Influenza+RSV	75+	12/13	0	0	107693
Influenza+RSV	75+	12/13	32	NA	107693
Influenza+RSV	75+	13/14	-26	NA	127139
Influenza+RSV	75+	13/14	0	0	127139
Influenza+RSV	75+	13/14	32	NA	127139
Influenza+RSV	75+	14/15	-26	NA	199975
Influenza+RSV	75+	14/15	0	0	199975
Influenza+RSV	75+	14/15	32	NA	199975
Influenza+RSV	75+	15/16	-26	NA	94448
Influenza+RSV	75+	15/16	0	0	94448
Influenza+RSV	75+	15/16	32	NA	94448
Influenza+RSV	75+	16/17	-26	NA	95766
Influenza+RSV	75+	16/17	0	0	95766
Influenza+RSV	75+	16/17	32	NA	95766
Influenza+RSV	75+	17/18	-26	NA	95686
Influenza+RSV	75+	17/18	0	1	95686
Influenza+RSV	75+	17/18	32	NA	95686
Influenza+RSV	75+	18/19	-26	NA	101302
Influenza+RSV	75+	18/19	0	0	101302
Influenza+RSV	75+	18/19	32	0	101302
Influenza+RSV	75+	19/20	-26	NA	103781
Influenza+RSV	75+	19/20	0	0	103781
Influenza+RSV	75+	19/20	32	NA	103781
Influenza+RSV	75+	20/21	-26	NA	80844
Influenza+RSV	75+	20/21	0	0	80844
Influenza+RSV	75+	20/21	32	NA	80844
